name,unique_id,rating,time completed,time taken
Hyunsuk Shim,rGBM_006_08_01_2023_08.01.2023_22_33_26,Acceptable,2025-04-12T23:20:29.349665,48.254581
Hyunsuk Shim,DOSEESC_EM07_06.26.2018_15_22_25,Acceptable,2025-04-12T23:20:34.606127,4.25992
Hyunsuk Shim,DOSEESC_EM01_10.16.2017_17_23_38,Acceptable,2025-04-12T23:20:37.406494,1.830152
Hyunsuk Shim,rGBM_001_02_27_2023_02.27.2023_22_39_35,Acceptable,2025-04-12T23:22:00.457938,82.201907
Hyunsuk Shim,DOSEESC_EM14_05.22.2019_24_31_34,Unacceptable,2025-04-12T23:22:07.116676,5.700152
Hyunsuk Shim,DOSEESC_EM13_03.01.2019_10_52_35,Acceptable,2025-04-12T23:22:11.148559,3.068564
Hyunsuk Shim,rGBM_006_04_03_2023_04.03.2023_14_34_22,Acceptable,2025-04-12T23:22:13.323390,1.305576
Hyunsuk Shim,DOSEESC_JH04_07.06.2018_12_39_22,Acceptable,2025-04-12T23:22:15.454627,1.1185
Hyunsuk Shim,DOSEESC_EM01_10.16.2017_18_22_32,Unacceptable,2025-04-12T23:22:26.861754,10.448296
Hyunsuk Shim,DOSEESC_EM01_09.20.2017_9_32_19,Unacceptable,2025-04-12T23:22:53.407512,25.593851
Hyunsuk Shim,DOSEESC_UM06_06.18.2018_15_52_37,Unacceptable,2025-04-12T23:23:00.963688,6.616324
Hyunsuk Shim,rGBM_001_08_30_2023_08.30.2023_17_37_40,Acceptable,2025-04-12T23:23:04.404315,2.468258
Hyunsuk Shim,wholeGBM_002_04_13_2023_04.13.2023_24_28_38,Acceptable,2025-04-12T23:23:06.409411,0.982539
Hyunsuk Shim,rGBM_004_09_22_2023_09.22.2023_22_22_40,Acceptable,2025-04-12T23:23:14.168872,6.798163
Hyunsuk Shim,DOSEESC_EM15_07.02.2019_23_38_39,Unacceptable,2025-04-12T23:23:19.008375,3.858651
Hyunsuk Shim,DOSEESC_EM12_03.07.2019_17_41_38,Acceptable,2025-04-12T23:24:50.429926,90.445538
Hyunsuk Shim,DOSEESC_EM01_09.20.2017_18_41_36,Acceptable,2025-04-12T23:24:52.931834,1.547626
